fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;great
7;0.17;0.33;4;0.034;17;127;0.9934;мар.19;0.39;10.июн;7;1
08.мар;0.21;0.58;17.янв;0.049;62;213;1.0006;03.янв;0.51;09.мар;6;1
07.фев;0.21;0.35;14.май;0.048;35;178;0.9982;03.май;0.47;08.сен;6;1
07.янв;0.21;0.4;01.фев;0.069;24;156;0.9928;мар.42;0.43;10.июн;6;1
08.апр;0.17;0.31;06.июл;0.038;29;132;0.9945;03.янв;0.32;10.июн;7;1
07.апр;0.24;0.31;08.апр;0.045;52;183;0.9963;03.сен;0.32;08.авг;5;0
05.мар;0.24;0.33;01.мар;0.033;25;97;0.9906;мар.59;0.38;11;8;1
06.май;0.28;0.26;08.авг;0.04;44;139;0.9956;мар.32;0.37;10.фев;6;1
06.мар;0.23;0.21;05.янв;0.035;29;142;0.9942;мар.36;0.33;10.янв;7;1
06.май;0.29;0.25;10.июн;0.039;32;120;0.9962;мар.31;0.34;10.янв;6;1
05.авг;0.29;0.21;02.июн;0.025;12;120;0.9894;мар.39;0.79;14;7;1
06.мар;0.27;0.25;05.авг;0.038;52;155;0.995;мар.28;0.38;09.апр;6;1
06.мар;0.17;0.42;02.авг;0.028;45;107;0.9908;мар.27;0.43;11.авг;6;1
06.мар;0.16;0.4;01.июн;0.033;59;148;0.9914;мар.44;0.53;11.апр;5;0
07.сен;0.29;0.39;06.июл;0.036;6;117;0.9938;03.дек;0.42;10.июл;5;0
07.мар;0.31;0.69;10.фев;0.041;58;160;0.9977;03.июн;0.45;08.июн;5;0
05.май;0.32;0.45;04.сен;0.028;25;191;0.9922;мар.51;0.49;11.май;7;1
05.фев;0.24;0.45;03.авг;0.027;21;128;0.992;мар.55;0.49;11.фев;8;1
07.фев;0.37;0.15;2;0.029;27;87;0.9903;03.мар;0.59;12.июн;7;1
06.янв;0.29;0.27;01.июл;0.024;13;76;0.9893;мар.21;0.51;12.июн;7;1
09.фев;0.22;0.4;02.апр;0.054;18;151;0.9952;03.апр;0.46;09.мар;4;0
07.фев;0.37;0.15;2;0.029;27;87;0.9903;03.мар;0.59;12.июн;7;1
8;0.18;0.37;01.мар;0.04;15;96;0.9912;03.июн;0.61;12.янв;6;1
06.май;0.22;0.34;12;0.053;55;177;0.9983;мар.52;0.44;09.сен;6;1
07.апр;0.18;0.4;01.июн;0.047;22;102;0.9937;мар.28;0.44;10.июл;5;0
06.май;0.52;0.17;01.апр;0.047;5;26;0.9932;мар.26;0.32;10;4;0
7;0.15;0.38;02.фев;0.047;33;96;0.9928;мар.13;0.39;10.апр;8;1
05.сен;0.415;0.13;01.апр;0.04;11;64;0.9922;мар.29;0.52;10.май;5;0
08.янв;0.45;0.34;08.мар;0.037;33;216;0.9976;мар.31;0.64;09.июл;5;0
05.авг;0.415;0.13;01.апр;0.04;11;64;0.9922;мар.29;0.52;10.май;5;0
06.апр;0.5;0.16;12.сен;0.042;26;138;0.9974;мар.28;0.33;9;5;0
06.июл;0.105;0.32;12.апр;0.051;34;106;0.998;мар.54;0.45;09.фев;6;1
6;0.4;0.3;01.июн;0.047;30;117;0.9931;мар.17;0.48;10.янв;6;1
06.июн;0.25;0.39;янв.45;0.04;40;89;0.9911;мар.35;0.4;11.апр;7;1
09.авг;0.36;0.45;01.июн;0.042;11;124;0.9944;фев.93;0.46;10.авг;5;0
09.июн;0.23;0.4;01.май;0.044;19;135;0.9937;фев.96;0.49;10.сен;5;0
06.мар;0.55;0.45;13;0.047;33;182;0.9974;03.фев;0.46;09.фев;6;1
06.май;0.115;0.29;янв.95;0.038;73;166;0.989;03.дек;0.25;12.сен;7;1
06.апр;0.125;0.29;май.85;0.042;24;99;0.992;мар.23;0.32;12;7;1
05.июл;0.1;0.27;01.мар;0.047;21;100;0.9928;мар.27;0.46;09.май;5;0
07.сен;0.25;0.29;05.мар;0.031;33;117;0.9918;03.июн;0.32;11.авг;7;1
06.сен;0.2;0.28;01.фев;0.048;36;159;0.9936;мар.19;0.43;09.янв;6;1
06.сен;0.23;0.34;4;0.047;24;128;0.9944;03.фев;0.52;09.июл;6;1
06.авг;0.39;0.31;14.35;0.043;28;162;0.9988;мар.17;0.54;09.янв;5;0
08.июл;0.22;0.42;02.мар;0.053;27;114;0.994;фев.99;0.43;10;5;0
07.апр;0.41;0.34;04.июл;0.042;19;127;0.9953;мар.25;0.42;10.апр;5;0
06.июл;0.25;0.34;дек.85;0.048;30;161;0.9986;мар.44;0.47;09.май;6;1
6;0.26;0.42;05.фев;0.027;70;178;0.9914;03.апр;0.4;12.мар;8;1
06.янв;0.31;0.37;08.апр;0.031;70;170;0.9934;мар.42;0.4;11.июл;8;1
09.фев;0.28;0.46;03.фев;0.058;39;133;0.996;мар.14;0.58;09.май;5;0
9;0.31;0.49;06.сен;0.034;26;91;0.9937;фев.99;0.34;11.май;5;0
08.май;0.16;0.33;1;0.076;17;57;0.9921;мар.14;0.46;10.июн;6;1
09.мар;0.34;0.49;07.мар;0.052;30;146;0.998;мар.17;0.61;10.фев;5;0
09.фев;0.28;0.46;03.фев;0.058;39;133;0.996;мар.14;0.58;09.май;5;0
07.фев;0.24;0.3;01.июн;0.048;27;131;0.9933;мар.25;0.45;10.май;5;0
07.фев;0.25;0.32;01.май;0.047;27;132;0.9933;мар.26;0.44;10.май;5;0
06.авг;0.32;0.18;07.май;0.041;71;223;0.9959;мар.14;0.41;08.сен;5;0
09.янв;0.27;0.32;01.янв;0.031;15;151;0.9936;03.мар;0.41;10.июн;5;0
08.сен;0.34;0.32;01.мар;0.041;12;188;0.9953;мар.17;0.49;09.май;5;0
7;0.17;0.37;05.июл;0.025;29;111;0.9938;03.фев;0.49;10.авг;6;1
06.июл;0.25;0.23;07.фев;0.038;61;220;0.9952;мар.14;0.35;09.май;5;0
06.сен;0.32;0.17;07.июн;0.042;69;219;0.9959;мар.13;0.4;08.сен;5;0
06.авг;0.32;0.18;07.май;0.041;71;223;0.9959;мар.14;0.41;08.сен;5;0
06.янв;0.6;0;01.мар;0.042;24;79;0.9937;мар.31;0.38;09.апр;4;0
05.мар;0.395;0.07;01.мар;0.035;26;102;0.992;03.май;0.35;10.июн;6;1
07.сен;0.16;0.3;04.авг;0.037;37;171;0.9967;мар.47;0.44;9;4;0
07.июн;0.33;0.36;02.янв;0.034;26;172;0.9944;мар.42;0.48;10.май;4;0
07.авг;0.3;0.29;16.85;0.054;23;135;0.9998;мар.16;0.38;9;6;1
07.авг;0.3;0.29;16.85;0.054;23;135;0.9998;мар.16;0.38;9;6;1
05.июл;0.26;0.27;04.янв;0.201;73.5;189.5;0.9942;мар.27;0.38;09.апр;6;1
07.авг;0.3;0.29;16.85;0.054;23;135;0.9998;мар.16;0.38;9;6;1
07.май;0.14;0.34;01.мар;0.055;50;153;0.9945;мар.29;0.8;09.июн;6;1
07.авг;0.3;0.29;16.85;0.054;23;135;0.9998;мар.16;0.38;9;6;1
06.июн;0.25;0.41;07.апр;0.043;29;151;0.9946;мар.15;0.6;10.фев;7;1
05.июл;0.26;0.27;04.янв;0.201;73.5;189.5;0.9942;мар.27;0.38;09.апр;6;1
08.фев;0.23;0.49;0.9;0.057;15;73;0.9928;03.июл;0.38;10.апр;6;1
6;0.24;0.32;06.мар;0.03;34;129;0.9946;мар.52;0.41;10.апр;5;0
06.янв;0.45;0.27;0.8;0.039;13;82;0.9927;мар.23;0.32;09.май;5;0
07.апр;0.23;0.43;01.апр;0.044;22;113;0.9938;мар.22;0.62;10.июн;6;1
07.фев;0.2;0.38;1;0.037;21;74;0.9918;мар.21;0.37;11;5;0
07.май;0.14;0.34;01.мар;0.055;50;153;0.9945;мар.29;0.8;09.июн;6;1
07.июл;0.25;0.43;04.май;0.062;20;115;0.9966;мар.38;0.5;09.сен;6;1
08.фев;0.61;0.45;05.апр;0.03;15;118;0.9954;мар.14;0.34;09.июн;5;0
07.июн;0.21;0.44;01.сен;0.036;10;119;0.9913;03.янв;0.7;12.авг;6;1
07.апр;0.22;0.33;2;0.045;31;101;0.9931;мар.42;0.55;11.апр;5;0
07.фев;0.26;0.26;12.июл;0.036;49;214;0.9986;мар.41;0.5;10;6;1
06.апр;0.25;0.41;08.июн;0.042;57;173;0.9965;3;0.44;09.янв;5;0
06.мар;0.32;0.35;11.янв;0.039;29;198;0.9984;мар.36;0.5;09.апр;7;1
06.авг;0.25;0.29;2;0.042;19;189;0.9952;мар.46;0.54;10.фев;6;1
09.авг;0.44;0.4;02.авг;0.036;35;167;0.9956;фев.97;0.39;09.фев;5;0
07.фев;0.2;0.25;04.май;0.044;31;109;0.9949;мар.23;0.36;09.апр;5;0
08.фев;0.61;0.45;05.апр;0.03;15;118;0.9954;мар.14;0.34;09.июн;5;0
07.май;0.42;0.45;09.янв;0.029;20;125;0.996;03.дек;0.36;10.янв;6;1
07.апр;0.22;0.33;2;0.045;31;101;0.9931;мар.42;0.55;11.апр;5;0
06.апр;0.26;0.3;02.фев;0.025;33;134;0.992;мар.21;0.47;10.июн;6;1
07.сен;0.46;0.32;04.янв;0.033;40;138;0.9912;мар.18;0.44;12.авг;7;1
06.май;0.41;0.64;11.авг;0.065;65;225;0.9978;03.дек;0.51;08.сен;5;0
07.май;0.32;0.37;01.фев;0.048;22;184;0.9938;03.сен;0.43;09.мар;5;0
06.июн;0.21;0.38;02.фев;0.026;40;104;0.9914;мар.25;0.4;11.янв;8;1
07.янв;0.21;0.3;01.апр;0.037;45;143;0.9932;мар.13;0.33;09.сен;6;1
07.июн;0.26;0.47;01.июн;0.068;5;55;0.9944;03.янв;0.45;09.июн;5;0
07.июн;0.21;0.44;01.сен;0.036;10;119;0.9913;03.янв;0.7;12.авг;6;1
06.сен;0.25;0.26;05.фев;0.024;36;135;0.9948;мар.16;0.72;10.июл;7;1
07.янв;0.26;0.32;14.45;0.074;29;107;0.998;фев.96;0.42;09.фев;6;1
07.мар;0.22;0.4;14.75;0.042;44.5;129.5;0.9998;мар.36;0.41;09.янв;7;1
06.фев;0.37;0.22;08.мар;0.025;36;216;0.9964;мар.33;0.6;09.июн;6;1
07.сен;0.22;0.45;14.фев;0.038;53;141;0.9992;03.мар;0.46;09.фев;6;1
06.сен;0.25;0.26;05.фев;0.024;36;135;0.9948;мар.16;0.72;10.июл;7;1
07.мар;0.22;0.4;14.75;0.042;44.5;129.5;0.9998;мар.36;0.41;09.янв;7;1
07.янв;0.26;0.32;14.45;0.074;29;107;0.998;фев.96;0.42;09.фев;6;1
07.апр;0.25;0.37;06.сен;0.02;14;93;0.9939;3;0.48;10.июл;7;1
06.авг;0.18;0.37;01.май;0.027;37;93;0.992;03.мар;0.45;10.авг;6;1
7;0.17;0.37;01.май;0.028;26;75;0.9922;03.мар;0.46;10.авг;7;1
06.апр;0.3;0.38;07.авг;0.046;35;192;0.9955;03.янв;0.37;9;5;0
5;0.33;0.16;01.май;0.049;10;97;0.9917;мар.48;0.44;10.июл;6;1
5;0.33;0.16;01.май;0.049;10;97;0.9917;мар.48;0.44;10.июл;6;1
08.сен;0.33;0.32;01.май;0.047;11;200;0.9954;мар.19;0.46;09.апр;5;0
7;0.26;0.46;15.55;0.037;61;171;0.9986;фев.94;0.35;08.авг;6;1
06.апр;0.3;0.38;07.авг;0.046;35;192;0.9955;03.янв;0.37;9;5;0
06.мар;0.21;0.4;01.июл;0.031;48;134;0.9917;мар.42;0.49;11.май;6;1
8;0.23;0.46;01.май;0.03;30;125;0.9907;мар.23;0.47;12.май;6;1
09.фев;0.28;0.41;1;0.042;14;59;0.9922;фев.96;0.25;10.май;6;1
07.мар;0.27;0.39;06.июл;0.064;28;188;0.9958;мар.29;0.3;09.июл;5;0
07.июн;0.32;0.36;01.июн;0.04;32;155;0.993;мар.23;0.52;11.мар;6;1
5;0.33;0.16;01.май;0.049;10;97;0.9917;мар.48;0.44;10.июл;6;1
09.июл;0.24;0.45;01.фев;0.033;11;59;0.9926;фев.74;0.47;10.авг;6;1
8;0.28;0.42;07.янв;0.045;41;169;0.9959;мар.17;0.43;10.июн;5;0
08.фев;0.37;0.36;1;0.034;17;93;0.9906;03.апр;0.32;11.июл;8;1
8;0.61;0.38;12.янв;0.301;24;220;0.9993;фев.94;0.48;09.фев;5;0
07.фев;0.26;0.44;07.янв;0.027;25;126;0.993;03.фев;0.34;11.янв;8;1
08.фев;0.37;0.36;1;0.034;17;93;0.9906;03.апр;0.32;11.июл;8;1
06.апр;0.23;0.33;янв.15;0.044;15.май;217.5;0.992;мар.33;0.44;11;6;1
05.сен;0.4;0.32;6;0.034;50;127;0.992;мар.51;0.58;12.май;7;1
07.июн;0.28;0.39;01.фев;0.038;21;115;0.994;мар.16;0.67;10;6;1
8;0.28;0.42;07.янв;0.045;41;169;0.9959;мар.17;0.43;10.июн;5;0
07.фев;0.23;0.39;02.мар;0.033;29;102;0.9908;мар.26;0.54;12.мар;7;1
06.авг;0.32;0.37;03.апр;0.023;19;87;0.9902;мар.14;0.53;12.июл;6;1
07.фев;0.23;0.39;02.мар;0.033;29;102;0.9908;мар.26;0.54;12.мар;7;1
06.сен;0.18;0.38;06.май;0.039;20;110;0.9943;03.янв;0.42;10.май;5;0
09.апр;0.26;0.53;01.фев;0.047;25;109;0.9921;мар.23;0.28;12.май;6;1
08.мар;0.33;0.42;янв.15;0.033;18;96;0.9911;03.фев;0.32;12.апр;3;0
07.мар;0.29;0.3;13;0.043;46;238;0.9986;03.июн;0.41;08.июл;6;1
07.сен;0.41;0.37;04.май;0.03;40;114;0.992;мар.17;0.54;12.апр;7;1
07.сен;0.44;0.37;май.85;0.033;27;93;0.992;мар.16;0.54;12.июн;7;1
07.июл;0.39;0.3;05.фев;0.037;29;131;0.9943;мар.38;0.44;11;6;1
07.июл;0.26;0.31;01.мар;0.043;47;155;0.9937;мар.42;0.5;10.янв;6;1
07.авг;0.32;0.31;01.июл;0.036;46;195;0.993;03.мар;0.48;10.май;5;0
06.авг;0.32;0.37;03.апр;0.023;19;87;0.9902;мар.14;0.53;12.июл;6;1
07.мар;0.24;0.39;03.июн;0.024;35;116;0.9928;мар.17;0.51;10.сен;5;0
07.янв;0.44;0.37;02.июл;0.041;35;128;0.9896;03.июл;0.43;13.май;7;1
10.мар;0.25;0.48;02.фев;0.042;28;164;0.998;мар.19;0.59;09.июл;5;0
07.сен;0.14;0.28;01.авг;0.041;44;178;0.9954;мар.45;0.43;09.фев;6;1
07.апр;0.18;0.42;02.янв;0.036;33;187;0.9938;03.апр;0.41;10.июн;7;1
08.янв;0.43;0.42;06.июн;0.033;36;141;0.9918;фев.98;0.39;13.мар;7;1
07.янв;0.44;0.37;02.июл;0.041;35;128;0.9896;03.июл;0.43;13.май;7;1
06.апр;0.26;0.22;05.янв;0.037;23;131;0.9944;мар.29;0.32;10.янв;5;0
8;0.66;0.72;17.55;0.042;62;233;0.9999;фев.92;0.68;09.апр;4;0
8;0.2;0.4;05.фев;0.055;41;167;0.9953;мар.18;0.4;10.июн;7;1
07.фев;0.21;0.34;01.янв;0.046;25;80;0.992;мар.25;0.4;11.мар;6;1
07.фев;0.18;0.31;01.янв;0.045;20;73;0.9925;мар.32;0.4;10.авг;7;1
08.апр;0.57;0.44;10.июл;0.051;46;195;0.9981;мар.15;0.51;10.апр;5;0
05.мар;0.26;0.23;май.15;0.034;48;160;0.9952;мар.82;0.51;10.май;7;1
05.июл;0.245;0.33;01.янв;0.049;28;150;0.9927;мар.13;0.42;09.мар;5;0
05.июн;0.245;0.32;01.янв;0.047;24;152;0.9927;03.дек;0.42;09.мар;6;1
07.мар;0.25;0.41;01.авг;0.037;52;165;0.9911;мар.29;0.39;12.фев;7;1
7;0.16;0.73;1;0.138;58;150;0.9936;03.авг;0.3;09.фев;5;0
06.апр;0.22;0.34;01.авг;0.057;29;104;0.9959;мар.81;0.57;10.мар;6;1
07.мар;0.18;0.65;01.апр;0.046;28;157;0.9946;мар.33;0.62;09.апр;6;1
06.апр;0.17;0.27;06.июл;0.036;88;223;0.9948;мар.28;0.35;10.фев;6;1
06.сен;0.29;0.16;06.авг;0.034;65;212;0.9955;03.авг;0.39;9;6;1
06.фев;0.21;0.38;06.авг;0.036;64;245;0.9951;03.июн;0.36;09.мар;6;1
06.апр;0.23;0.3;07.янв;0.037;63;236;0.9952;03.июн;0.34;09.фев;6;1
07.мар;0.19;0.68;01.май;0.05;31;156;0.9946;мар.32;0.64;09.апр;6;1
07.мар;0.18;0.65;01.апр;0.046;28;157;0.9946;мар.33;0.62;09.апр;6;1
09.июн;0.29;0.46;янв.45;0.039;77.5;223;0.9944;фев.92;0.46;09.май;6;1
07.фев;0.14;0.35;01.фев;0.036;15;73;0.9938;мар.46;0.39;09.сен;5;0
06.сен;0.31;0.34;07.апр;0.059;36;174;0.9963;мар.46;0.62;11.янв;7;1
07.май;0.28;0.34;04.фев;0.028;36;116;0.991;фев.99;0.41;12.мар;8;1
8;0.22;0.42;14.июн;0.044;45;163;1.0003;мар.21;0.69;08.июн;7;1
07.июн;0.31;0.29;10.май;0.04;21;145;0.9966;03.апр;0.35;09.апр;5;0
08.апр;0.35;0.56;13.авг;0.048;55;190;0.9993;03.июл;0.58;09.апр;6;1
8;0.22;0.42;14.июн;0.044;45;163;1.0003;мар.21;0.69;08.июн;7;1
08.янв;0.5;0.47;01.янв;0.037;23;126;0.9938;мар.21;0.42;10.сен;5;0
7;0.39;0.31;05.мар;0.169;32;162;0.9965;03.фев;0.48;09.апр;5;0
08.янв;0.5;0.47;01.янв;0.037;23;126;0.9938;мар.21;0.42;10.сен;5;0
08.апр;0.35;0.56;13.авг;0.048;55;190;0.9993;03.июл;0.58;09.апр;6;1
06.фев;0.22;0.27;01.май;0.064;20;132;0.9938;мар.22;0.46;09.фев;6;1
8;0.22;0.42;14.июн;0.044;45;163;1.0003;мар.21;0.69;08.июн;7;1
07.июн;0.31;0.29;10.май;0.04;21;145;0.9966;03.апр;0.35;09.апр;5;0
7;0.24;0.36;04.сен;0.083;10;133;0.9942;мар.33;0.37;10.авг;6;1
06.июн;0.27;0.3;01.сен;0.025;14;153;0.9928;мар.29;0.62;10.май;6;1
07.авг;0.16;0.41;01.июл;0.026;29;140;0.991;03.фев;0.78;12.май;6;1
07.июл;0.27;0.34;01.авг;0.028;26;168;0.9911;фев.99;0.48;12.янв;7;1
07.апр;0.31;0.74;10.июл;0.039;51;147;0.9977;03.фев;0.43;08.июл;5;0
8;0.45;0.36;08.авг;0.026;50;151;0.9927;03.июл;0.25;12.июл;8;1
07.июл;0.27;0.34;01.авг;0.028;26;168;0.9911;фев.99;0.48;12.янв;7;1
07.авг;0.16;0.41;01.июл;0.026;29;140;0.991;03.фев;0.78;12.май;6;1
06.июн;0.16;0.29;01.авг;0.05;40;147;0.9912;03.июн;0.44;11.апр;7;1
08.мар;0.21;0.4;01.июн;0.032;35;110;0.9907;03.фев;0.6;12.сен;7;1
07.фев;0.32;0.33;01.апр;0.029;29;109;0.9902;мар.15;0.51;12.авг;7;1
06.июн;0.16;0.3;01.июн;0.034;15;78;0.992;мар.38;0.44;11.фев;6;1
08.апр;0.16;0.33;01.май;0.033;16;98;0.994;мар.14;0.42;09.июл;6;1
07.май;0.23;0.32;09.фев;0.038;54;191;0.9966;03.апр;0.56;09.июл;6;1
06.фев;0.17;0.3;01.янв;0.037;14;79;0.993;03.май;0.54;10.мар;6;1
06.сен;0.39;0.22;04.мар;0.03;10;102;0.993;3;0.87;11.июн;4;0
06.сен;0.41;0.22;04.фев;0.031;10;102;0.993;3;0.86;11.июн;4;0
07.май;0.23;0.32;09.фев;0.038;54;191;0.9966;03.апр;0.56;09.июл;6;1
07.май;0.38;0.33;5;0.045;30;131;0.9942;мар.32;0.44;10.сен;6;1
07.мар;0.42;0.38;06.авг;0.045;29;122;0.9925;мар.19;0.37;12.июн;7;1
07.мар;0.34;0.39;05.фев;0.04;45;163;0.9925;03.мар;0.47;12.апр;6;1
07.авг;0.23;0.28;апр.75;0.042;45;166;0.9928;фев.96;0.4;11.май;5;0
9;0.245;0.38;05.сен;0.045;52;159;0.995;фев.93;0.35;10.фев;6;1
06.сен;0.2;0.4;07.июл;0.032;51;176;0.9939;мар.22;0.27;11.апр;5;0
07.апр;0.19;0.42;06.апр;0.067;39;212;0.9958;03.мар;0.33;09.июн;6;1
08.фев;0.2;0.36;08.янв;0.035;60;163;0.9952;03.май;0.3;10.мар;6;1
8;0.59;0.71;17.35;0.038;61;228;1;фев.95;0.75;09.мар;5;0
07.сен;0.14;0.45;01.авг;0.05;17;114;0.9948;мар.33;0.49;10.июл;7;1
06.авг;0.24;0.4;01.авг;0.047;34;105;0.99;мар.13;0.49;12.авг;8;1
09.июл;0.14;0.59;01.май;0.049;23;142;0.9958;фев.98;0.62;09.май;5;0
09.фев;0.15;0.68;01.июн;0.046;22;130;0.9948;03.фев;0.45;10.апр;6;1
09.апр;0.17;0.55;01.июн;0.049;14;94;0.9949;03.фев;0.61;10.мар;6;1
05.фев;0.365;0.08;13.май;0.041;37;142;0.997;мар.46;0.39;09.сен;6;1
06.мар;0.23;0.22;мар.75;0.039;37;116;0.9927;мар.23;0.5;10.июл;6;1
09.июн;0.25;0.54;01.мар;0.04;16;160;0.9938;фев.94;0.43;10.май;5;0
09.фев;0.32;0.42;01.мар;0.046;14;186;0.9949;03.авг;0.48;09.июн;5;0
06.апр;0.31;0.4;06.фев;0.04;46;169;0.9953;мар.15;0.46;09.мар;6;1
08.янв;0.2;0.36;09.июл;0.044;63;162;0.997;03.янв;0.46;10;6;1
07.сен;0.255;0.26;2;0.026;40;190;0.9932;03.апр;0.39;11.фев;6;1
7;0.15;0.34;01.апр;0.039;21;177;0.9927;мар.32;0.62;10.авг;5;0
06.апр;0.15;0.31;01.янв;0.044;25;96;0.9932;мар.54;0.51;10.мар;6;1
06.апр;0.25;0.53;06.июн;0.038;59;234;0.9955;03.мар;0.42;08.авг;5;0
07.июн;0.19;0.42;01.май;0.044;6;114;0.9914;03.апр;0.74;12.авг;6;1
07.мар;0.43;0.37;04.июн;0.028;17;114;0.991;мар.23;0.43;13.фев;6;1
05.янв;0.31;0.3;0.9;0.037;28;152;0.992;мар.54;0.56;10.янв;6;1
06.фев;0.2;0.26;01.июл;0.093;40;161;0.9924;мар.44;0.66;11;5;0
06.сен;0.16;0.35;01.мар;0.043;21;182;0.9927;мар.25;0.62;10.авг;6;1
07.июл;0.32;0.48;02.мар;0.04;28;114;0.9911;03.фев;0.52;12.авг;7;1
06.май;0.22;0.72;06.авг;0.042;33;168;0.9958;03.дек;0.36;09.фев;6;1
06.авг;0.26;0.33;01.май;0.047;44;167;0.9928;03.дек;0.44;10.май;6;1
05.фев;0.37;0.33;01.фев;0.028;13;81;0.9902;мар.37;0.38;11.июл;6;1
08.апр;0.19;0.43;02.янв;0.052;20;104;0.994;фев.85;0.46;09.май;5;0
08.мар;0.21;0.41;02.фев;0.05;24;108;0.994;фев.85;0.45;09.май;5;0
06.авг;0.15;0.32;08.авг;0.058;24;110;0.9972;03.апр;0.4;08.авг;6;1
07.сен;0.16;0.64;17;0.05;69;210;1.0004;мар.15;0.51;09.мар;7;1
07.авг;0.21;0.39;01.авг;0.034;62;180;0.991;03.сен;0.75;12.июн;8;1
9;0.24;0.5;01.фев;0.048;26;107;0.9918;мар.21;0.34;12.апр;6;1
05.июл;0.21;0.24;02.мар;0.047;60;189;0.995;мар.65;0.72;10.янв;6;1
07.авг;0.29;0.36;7;0.042;38;161;0.9941;мар.26;0.37;11.фев;8;1
06.июл;0.18;0.3;06.апр;0.048;40;251;0.9956;мар.29;0.52;10;5;0
06.июл;0.18;0.3;06.апр;0.048;40;251;0.9956;мар.29;0.52;10;5;0
08.апр;0.58;0.27;дек.15;0.033;37;116;0.9959;фев.99;0.39;10.авг;6;1
07.фев;0.16;0.32;0.8;0.04;50;121;0.9922;мар.27;0.33;10;6;1
07.июн;0.54;0.23;2;0.029;13;151;0.9931;03.апр;0.33;10.апр;5;0
08.апр;0.58;0.27;дек.15;0.033;37;116;0.9959;фев.99;0.39;10.авг;6;1
06.июн;0.25;0.31;12.апр;0.059;52;181;0.9984;мар.51;0.47;09.авг;6;1
07.мар;0.23;0.37;01.сен;0.041;51;165;0.9908;мар.26;0.4;12.фев;8;1
07.мар;0.39;0.37;01.янв;0.043;36;113;0.991;мар.39;0.48;12.июл;8;1
7;0.46;0.39;06.фев;0.039;46;163;0.9928;мар.21;0.35;12.фев;7;1
08.фев;0.35;0.4;06.мар;0.039;35;162;0.9936;мар.15;0.34;11.сен;7;1
07.авг;0.29;0.36;7;0.042;38;161;0.9941;мар.26;0.37;11.фев;8;1
09.фев;0.35;0.39;0.9;0.042;15;61;0.9924;фев.96;0.28;10.апр;4;0
8;0.57;0.39;03.сен;0.034;22;122;0.9917;мар.29;0.67;12.авг;7;1
06.май;0.37;0.33;03.сен;0.027;40;130;0.9906;мар.28;0.39;12.июл;7;1
05.июл;0.21;0.24;02.мар;0.047;60;189;0.995;мар.65;0.72;10.янв;6;1
06.июл;0.18;0.3;06.апр;0.048;40;251;0.9956;мар.29;0.52;10;5;0
07.авг;0.13;0.3;01.авг;0.04;43;179;0.9955;мар.43;0.41;9;5;0
07.июн;0.19;0.41;01.янв;0.04;38;143;0.9907;фев.92;0.42;11.апр;5;0
07.мар;0.22;0.41;15.апр;0.05;55;191;1;мар.32;0.59;08.сен;6;1
06.мар;0.29;0.4;06.май;0.039;43;167;0.9953;мар.15;0.44;09.мар;6;1
06.авг;0.35;0.32;02.апр;0.048;35;103;0.9911;мар.28;0.46;12;8;1
06.май;0.19;0.32;01.апр;0.04;31;132;0.9922;мар.36;0.54;10.авг;7;1
06.фев;0.12;0.26;05.июл;0.044;56;158;0.9951;мар.52;0.37;10.май;6;1
6;0.13;0.28;05.июл;0.038;56;189.5;0.9948;мар.59;0.43;10.июн;7;1
06.апр;0.25;0.33;01.апр;0.04;42;115;0.9906;мар.19;0.48;11.мар;7;1
06.сен;0.32;0.16;01.апр;0.051;15;96;0.994;мар.22;0.38;09.май;4;0
07.июн;0.19;0.41;01.янв;0.04;38;143;0.9907;фев.92;0.42;11.апр;5;0
06.июл;0.13;0.28;01.фев;0.046;35;140;0.9927;мар.33;0.33;10.янв;7;1
7;0.14;0.41;0.9;0.037;22;95;0.9914;мар.25;0.43;10.сен;6;1
07.июн;0.27;0.24;03.авг;0.058;19;115;0.9958;мар.15;0.45;08.сен;5;0
07.мар;0.22;0.41;15.апр;0.05;55;191;1;мар.32;0.59;08.сен;6;1
07.апр;0.64;0.47;14.15;0.168;42;185;0.9984;02.сен;0.49;09.мар;5;0
07.июн;0.28;0.39;01.сен;0.052;23;116;0.9941;мар.25;0.4;10.апр;6;1
08.мар;0.26;0.41;09.фев;0.042;41;162;0.9944;03.янв;0.38;12;7;1
10.июл;0.22;0.56;08.фев;0.044;37;181;0.998;фев.87;0.68;09.май;6;1
10.июл;0.22;0.56;08.фев;0.044;37;181;0.998;фев.87;0.68;09.май;6;1
06.сен;0.23;0.34;02.июл;0.032;24;121;0.9902;мар.14;0.38;12.апр;7;1
06.фев;0.3;0.32;01.июл;0.032;30;130;0.9911;мар.28;0.41;11.фев;7;1
06.сен;0.27;0.41;01.июл;0.047;6;134;0.9929;мар.15;0.69;11.апр;6;1
06.сен;0.28;0.41;01.июл;0.05;10;136;0.993;мар.16;0.71;11.апр;6;1
06.сен;0.28;0.3;01.июн;0.047;46;132;0.9918;мар.35;0.38;11.янв;7;1
06.сен;0.46;0.2;0.9;0.054;5;126;0.992;03.янв;0.42;10.апр;6;1
06.сен;0.38;0.32;08.май;0.044;36;152;0.9932;мар.38;0.35;12;7;1
